x	u0	u1
         -2.05078125	(0.1468874036215734+0.43480828266256577j)	(0.14599254964089953+0.4355655326492511j)
            -2.03125	(0.14996989836298988+0.44150673902177656j)	(0.14906920381219635+0.44233095679133266j)
         -2.01171875	(0.15307433059597772+0.4482371589976155j)	(0.15220314639918972+0.44908265353934307j)
          -1.9921875	(0.1562573410132901+0.45496046383157657j)	(0.15539200840759707+0.455898231175354j)
         -1.97265625	(0.15954660067437132+0.46171906455989364j)	(0.15867011840140754+0.46271740974094433j)
           -1.953125	(0.16293329256839545+0.46853493966908444j)	(0.16209115756565023+0.469582857482355j)
         -1.93359375	(0.16640175289650627+0.47540601231057833j)	(0.16556434715403617+0.4764432651562812j)
          -1.9140625	(0.1700143693823035+0.48229418744890695j)	(0.16911418531806943+0.483327326145382j)
         -1.89453125	(0.17369200242325233+0.4891529936479199j)	(0.17282100139794823+0.4902236354724211j)
              -1.875	(0.17743944812010695+0.4960063647973228j)	(0.17661892528794165+0.4971302857126626j)
         -1.85546875	(0.1812686626049924+0.5028602115715745j)	(0.180492838152576+0.5040219315847094j)
          -1.8359375	(0.18519606845870717+0.5097080445754828j)	(0.1844899478040517+0.5108696652348238j)
         -1.81640625	(0.18915315067730343+0.5165195662233109j)	(0.18861022400986566+0.5176368175339363j)
           -1.796875	(0.19323237203402713+0.5232459651781869j)	(0.19283407254284715+0.5243855444054557j)
         -1.77734375	(0.19744061994704767+0.5299114299197748j)	(0.1971345715523113+0.5310729079268076j)
          -1.7578125	(0.20178688182768137+0.5365176356268823j)	(0.20147411124558462+0.5377253401482802j)
         -1.73828125	(0.20627611243073501+0.5430006219973048j)	(0.20589311190895604+0.5442988848368336j)
            -1.71875	(0.21083176897671513+0.5493802718328076j)	(0.21041966373439785+0.5508088397860676j)
         -1.69921875	(0.21548890917947316+0.5556694235180002j)	(0.215089164433481+0.5571826268787972j)
          -1.6796875	(0.22027450056875125+0.5618642395495135j)	(0.21990872753817142+0.5634282522015861j)
         -1.66015625	(0.22514831678882813+0.5679282967239889j)	(0.2248299819333775+0.5695506808952612j)
           -1.640625	(0.2301520756351043+0.5738244280814457j)	(0.2298896124012561+0.57554951328766j)
         -1.62109375	(0.23532183401578702+0.5795804255221539j)	(0.2351423732025073+0.5814427598725267j)
          -1.6015625	(0.24064434314802485+0.5852229851792856j)	(0.24052970671623178+0.5871778503710048j)
         -1.58203125	(0.24608951825349865+0.5907239559283857j)	(0.24604785637605403+0.59272320330529j)
             -1.5625	(0.2517272519546942+0.5960833805818j)	(0.2517806218892021+0.598127981294261j)
         -1.54296875	(0.2575384284063698+0.6012124753323763j)	(0.2576918437111088+0.6033297874080691j)
          -1.5234375	(0.2634986878559266+0.6061011120835739j)	(0.2637531929606669+0.60832169793465j)
         -1.50390625	(0.26960280446315305+0.6107501385001373j)	(0.2700122501985242+0.6130406479877522j)
           -1.484375	(0.2759063229848901+0.6151534256882853j)	(0.27648867256321397+0.6174565294919698j)
         -1.46484375	(0.2823354419712838+0.6192779106497814j)	(0.28315955679218086+0.6215887343787239j)
          -1.4453125	(0.2889392458402451+0.6230625340484124j)	(0.2900141124871627+0.625417958251361j)
         -1.42578125	(0.29577107791009805+0.6264727172405344j)	(0.29700948813350236+0.6289471472365387j)
            -1.40625	(0.30283205341703057+0.6295378437957904j)	(0.30418439699740885+0.6321317733802004j)
         -1.38671875	(0.3101437269744176+0.6321621285100012j)	(0.3115731323491766+0.6349598048703713j)
          -1.3671875	(0.3176443750311906+0.6343597797309035j)	(0.3192015310586436+0.6373469587439081j)
         -1.34765625	(0.32534521649808334+0.6361268964581019j)	(0.3270798896986105+0.6392623739046901j)
           -1.328125	(0.3333017615890056+0.637444574063617j)	(0.3352001314217948+0.6407249713960367j)
         -1.30859375	(0.34150002937875434+0.6382764183613847j)	(0.34356986936230816+0.6417101602298032j)
          -1.2890625	(0.3499240632770416+0.6385846147600835j)	(0.3522922837050455+0.6421672844524484j)
         -1.26953125	(0.3586347924253871+0.6383004584777245j)	(0.36130853181103656+0.6420883672661271j)
               -1.25	(0.3676883451570811+0.637445568071391j)	(0.3705992746296423+0.6414307648566652j)
         -1.23046875	(0.37706053122272076+0.6360017333098883j)	(0.38027081048251976+0.6401549749721319j)
          -1.2109375	(0.3868114924261191+0.6339243764271011j)	(0.3903021074435161+0.6382044861256446j)
         -1.19140625	(0.3969190458925051+0.6311264282142832j)	(0.40068900172311545+0.6356051208526297j)
           -1.171875	(0.40735950593964987+0.6275924436800867j)	(0.41142450688574506+0.6322569017470805j)
         -1.15234375	(0.4181553101178276+0.623322050060417j)	(0.42251986256542984+0.6281113229926155j)
          -1.1328125	(0.429359628109611+0.618235342482182j)	(0.43400861095055254+0.6231494849144289j)
         -1.11328125	(0.4409781516687332+0.6123244319856826j)	(0.4459228331256245+0.6173651992807622j)
            -1.09375	(0.45300564127883236+0.6055740140041909j)	(0.4582941489036343+0.6107551617430025j)
         -1.07421875	(0.46541961835379964+0.5978489021141271j)	(0.4711391749474348+0.6032708886701693j)
          -1.0546875	(0.4783120993308752+0.5891301996415199j)	(0.4844872685530706+0.5948233999114737j)
         -1.03515625	(0.4916457572851514+0.5793293888539431j)	(0.49832179772679885+0.585359914685126j)
           -1.015625	(0.5054603458970061+0.5684701058221692j)	(0.5126353422460371+0.5748316168813267j)
         -0.99609375	(0.5198112839629827+0.5565062911453974j)	(0.5275116868013179+0.5631873536575894j)
          -0.9765625	(0.5347520882112288+0.5433652289417809j)	(0.5429942880428167+0.5504002601669535j)
         -0.95703125	(0.5502810984167528+0.5289538620576212j)	(0.5590597827867678+0.5363217891193924j)
             -0.9375	(0.5664735140672228+0.5132794261591909j)	(0.5757730642456693+0.5209417905100941j)
         -0.91796875	(0.5832955620868384+0.4962558170514264j)	(0.5931942025852246+0.5042416137441601j)
          -0.8984375	(0.6007911453208097+0.4777756833776938j)	(0.6113086471558811+0.48609767880945687j)
         -0.87890625	(0.619021255000404+0.45774397236711417j)	(0.6301377950219331+0.46647022589868425j)
           -0.859375	(0.6380327841780927+0.4361049821460874j)	(0.6497886152041547+0.44527462765323245j)
         -0.83984375	(0.6578127530393376+0.41277647099956494j)	(0.6702889463925644+0.4224886757038962j)
          -0.8203125	(0.6784583462387035+0.3877712990994626j)	(0.6916841866543784+0.3980603364119471j)
         -0.80078125	(0.7000401748584839+0.3609320858295507j)	(0.7140235743687494+0.37189734928737084j)
            -0.78125	(0.7225980937803429+0.3322111999231032j)	(0.737372687997501+0.34387547505648713j)
         -0.76171875	(0.7461516885951468+0.30149180273496456j)	(0.7617857024854457+0.3138775415908509j)
          -0.7421875	(0.7708234325313682+0.2686589029265281j)	(0.7873316228153013+0.2817996237072961j)
         -0.72265625	(0.7966810390752764+0.23368307886104142j)	(0.8140456145566843+0.2475998173393618j)
           -0.703125	(0.8237624100719374+0.19647609221092183j)	(0.8420189338075845+0.2111969366413792j)
         -0.68359375	(0.852124684977854+0.1569444832335748j)	(0.8713668244486481+0.1724982749929225j)
          -0.6640625	(0.8818902273686678+0.11497023897300107j)	(0.9021098117332588+0.1314118912895097j)
         -0.64453125	(0.9130815337377132+0.07038759972536937j)	(0.9342862060205626+0.08778656522799178j)
              -0.625	(0.9457468486575293+0.0231114432048747j)	(0.9680255194182233+0.041623565241967385j)
         -0.60546875	(0.9799707216966363-0.02692965348402063j)	(1.0033819126784236-0.007215557667962495j)
          -0.5859375	(1.0158050368833331-0.0798620645335644j)	(1.0403755035673308-0.05886028116676228j)
         -0.56640625	(1.053321688175557-0.135821630498077j)	(1.0791278697761908-0.11338052471597071j)
           -0.546875	(1.0926449647698777-0.19486585011762342j)	(1.119727069013183-0.17087320819518137j)
         -0.52734375	(1.1338127442194466-0.2570351621043919j)	(1.1621793541745313-0.2313979248901648j)
          -0.5078125	(1.176859286346122-0.32241317658356433j)	(1.2065121480288976-0.29504242726525j)
         -0.48828125	(1.2218791670136728-0.39105484011078534j)	(1.2527530069575543-0.3618934585195573j)
            -0.46875	(1.2688419397585098-0.46307351089109483j)	(1.3009219007755055-0.4319660928049308j)
         -0.44921875	(1.3177427849604824-0.5384206983372878j)	(1.3510450503625926-0.5052215495847211j)
          -0.4296875	(1.3685736977443135-0.6170659573713049j)	(1.40312411094652-0.5816063469325689j)
         -0.41015625	(1.4213197603725851-0.6989828803819442j)	(1.457140490736551-0.6610215186558648j)
           -0.390625	(1.4759353575599046-0.7840052327602299j)	(1.5129883162251976-0.7433954806174687j)
         -0.37109375	(1.5322573015733427-0.8719515707065904j)	(1.5705445839632897-0.8285541601405871j)
          -0.3515625	(1.5901240567661263-0.9626187900401257j)	(1.629623683860715-0.9162024127784227j)
         -0.33203125	(1.649356078458835-1.0557152961817151j)	(1.6900277676170483-1.0060648295426993j)
             -0.3125	(1.7096854588683976-1.150794981837307j)	(1.751581876432389-1.09776698228618j)
         -0.29296875	(1.7708686082379055-1.2473513242479606j)	(1.8138645107941134-1.1908002157563924j)
          -0.2734375	(1.8325643873829958-1.3448285143313556j)	(1.8765255978320579-1.2845697893685557j)
         -0.25390625	(1.8942963055178679-1.4425216298304542j)	(1.939162899961007-1.3784496301647047j)
           -0.234375	(1.9555587182756367-1.5396128574117138j)	(2.001261745057856-1.4716094518030334j)
         -0.21484375	(2.0158211622350355-1.6351982892166668j)	(2.0622409344774253-1.563133361719191j)
          -0.1953125	(2.074453503762356-1.7282002694391854j)	(2.1214651878917126-1.6520773518539782j)
         -0.17578125	(2.130699763505371-1.8174745906580918j)	(2.178238773155787-1.7374278074140188j)
            -0.15625	(2.183837952566771-1.9018924555739536j)	(2.2318817208102546-1.81807350850832j)
         -0.13671875	(2.2331001413328386-1.980163147237417j)	(2.28162012241176-1.8928873423923749j)
          -0.1171875	(2.277794952582348-2.051119809139862j)	(2.3266772193628635-1.9606595319824316j)
         -0.09765625	(2.317145630685374-2.1135900882110445j)	(2.366291697461876-2.020274175585656j)
           -0.078125	(2.3504214589047416-2.1664447283531527j)	(2.399783325061676-2.070609745616323j)
